,species,currently,spec
0,Commerson's,Aquatica Orlando,4
1,Bottlenose,Brookfield Zoo,8
2,Bottlenose,Clearwater Marine Aquarium,3
3,Backcross,Discovery Cove,2
4,Bottlenose,Discovery Cove,52
5,Bottlenose,Dolphin Connection,5
6,Bottlenose,Dolphin Quest Hawai'i,12
7,Bottlenose,Dolphin Quest Oahu,6
8,Bottlenose,Dolphin Research Center,24
9,"Spotted, Atlantic",Dolphin Research Center,1
10,Bottlenose,Dolphinaris Arizona,8
11,Bottlenose,Dolphins Plus Bayside,9
12,Bottlenose,Dolphins Plus Oceanside,14
13,Bottlenose,EPCOT The Seas,4
14,Beluga,Georgia Aquarium,4
15,Bottlenose,Georgia Aquarium,13
16,Bottlenose,Gulf World Marine Park,4
17,Rough-toothed,Gulf World Marine Park,1
18,Bottlenose,Gulfarium Marine Adventure,4
19,Bottlenose,Indianapolis Zoo,10
20,Bottlenose,Inst. for Marine Mammal Studies,3
21,Bottlenose,Marineland Florida,16
22,Bottlenose,Miami Seaquarium,8
23,"White-sided, Pacific",Miami Seaquarium,1
24,Bottlenose,Mirage Dolphin Habitat,9
25,Killer Whale; Orca,Sea World San Antonio,1
26,Beluga,SeaWorld Orlando,1
27,Bottlenose,SeaWorld Orlando,28
28,Hybrid,SeaWorld Orlando,1
29,Killer Whale; Orca,SeaWorld Orlando,5
30,"Pilot, Short-fin",SeaWorld Orlando,4
31,Beluga,SeaWorld San Antonio,6
32,Bottlenose,SeaWorld San Antonio,22
33,Killer Whale; Orca,SeaWorld San Antonio,5
34,"White-sided, Pacific",SeaWorld San Antonio,5
35,Beluga,SeaWorld San Diego,5
36,Bottlenose,SeaWorld San Diego,31
37,Killer Whale; Orca,SeaWorld San Diego,9
38,"Pilot, Short-fin",SeaWorld San Diego,2
39,Beluga,Shedd Aquarium,7
40,"White-sided, Pacific",Shedd Aquarium,7
41,Bottlenose,Six Flags Discovery Kingdom,11
42,Bottlenose,Texas State Aquarium,4
43,Bottlenose,Theater of the Sea,8
44,Bottlenose,U.S. Navy,80
